well,x,y,rows,component,graph_degree
syn_000,2900020.825,1000010.71,120,component_000,1
syn_001,2900090.825,1000065.71,120,component_000,1
syn_002,2908020.825,1005010.71,120,component_001,1
syn_003,2908090.825,1005065.71,120,component_001,1
syn_004,2916020.825,1010010.71,120,component_002,1
syn_005,2916090.825,1010065.71,120,component_002,1
syn_006,2924020.825,1015010.71,120,component_003,1
syn_007,2924090.825,1015065.71,120,component_003,1
syn_008,2932020.825,1020010.71,120,component_004,1
syn_009,2932090.825,1020065.71,120,component_004,1
syn_010,2940020.825,1025010.71,120,component_005,1
syn_011,2940090.825,1025065.71,120,component_005,1
syn_012,2948020.825,1030010.71,120,component_006,1
syn_013,2948090.825,1030065.71,120,component_006,1
syn_014,2956020.825,1035010.71,120,component_007,1
syn_015,2956090.825,1035065.71,120,component_007,1
syn_016,2964020.825,1040010.71,120,component_008,1
syn_017,2964090.825,1040065.71,120,component_008,1
