panel,outer_fold,rows,wells,components,sequential_rmse,gain_vs_incumbent_ft
Primary160,1,120004,26,19,10.914221,0.688849
Primary160,2,120583,25,19,16.208325,0.789827
Primary160,3,122396,25,19,14.871747,0.266564
Primary160,4,126781,25,20,16.181046,0.551734
Primary160,5,120987,25,19,15.572896,1.000994
Complement160,1,123446,27,20,12.993780,1.002364
Complement160,2,130835,24,20,12.648860,1.122064
Complement160,3,126450,27,20,10.426780,0.853652
Complement160,4,129187,24,20,10.909210,0.679043
Complement160,5,126432,26,20,15.437252,0.924685
